Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","188","Costa Rica","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","16352.53","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","23976","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1056.47","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","2168","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","287.44","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","451","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","14","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","57","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","16233.23","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","45796","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","8761.31","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","16039","A","Official figure",""
"TCL","Crops and livestock products","192","Cuba","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","314656.61","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","192","Cuba","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","381883","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","196","Cyprus","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","12655.46","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","38803","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","825.9","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","587","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","92215.42","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","234705","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","23387.19","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","54732","A","Official figure",""
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","76883","A","Official figure",""
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","45338","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","45345.04","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","202343","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","66099.33","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","148716","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4250.09","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","7926","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","72.57","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","115","A","Official figure",""
"TCL","Crops and livestock products","212","Dominica","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","3511.7","A","Official figure",""
"TCL","Crops and livestock products","212","Dominica","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","7414","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","49966.69","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","68928","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","3.88","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","7","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","818","Egypt","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","19526.42","I","Value 
imputed by a
receiving 
agency",""
"TCL","Crops and livestock products","818","Egypt","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","90883","A","Official figure",""
"TCL","Crops and livestock products","818","Egypt","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","737.26","I","Value 
imputed by a
receiving 
agency",""
"TCL","Crops and livestock products","818","Egypt","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","630","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","12843.14","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","25060","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","1474.22","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","2774","A","Official figure",""
"TCL","Crops and livestock products","226","Equatorial Guinea","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","31371.58","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","226","Equatorial Guinea","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","41851","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","226","Equatorial Guinea","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","43565.09","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","226","Equatorial Guinea","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","9315","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","232","Eritrea","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","26.82","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","232","Eritrea","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","98","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","233","Estonia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","17916.82","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","49631","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","6176.04","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","15207","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","2600.27","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","2805","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","583.96","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1309","A","Official figure",""
"TCL","Crops and livestock products","231","Ethiopia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","223.34","A","Official figure",""
"TCL","Crops and livestock products","231","Ethiopia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","322","A","Official figure",""
"TCL","Crops and livestock products","234","Faroe Islands","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","407.23","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","234","Faroe Islands","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1637","X","Figure from external organization","Estimated data using trading partners database"
